war_rank,team,conference,war_bat,war_pit,war_total,wrcplus_adj,wrcplus_raw,pitchplus_adj
80,East Carolina,American,9.233,19.421,28.654,108.857,79.626,143.867
81,Central Ark.,ASUN,17.119,11.265,28.384,140.389,124.199,121.305
82,Southern Miss.,Sun Belt,14.377,13.682,28.059,125.868,96.052,125.522
83,App State,Sun Belt,18.285,9.353,27.638,146.704,125.269,113.896
84,FIU,Conference USA,13.420,14.076,27.496,126.809,103.630,132.514
85,Campbell,CAA,15.573,11.585,27.158,128.241,118.943,119.893
86,Boise St.,Mountain West,13.381,13.769,27.151,122.495,92.700,126.165
87,Houston,Big 12,18.239,8.840,27.079,145.468,110.593,106.874
88,San Diego St.,Mountain West,13.056,13.793,26.848,128.626,97.927,132.041
89,Coastal Carolina,Sun Belt,16.292,10.557,26.848,138.321,104.579,113.379
90,Ohio,MAC,17.738,8.659,26.396,138.025,141.971,107.599
91,LMU (CA),WCC,9.302,16.941,26.242,109.717,92.510,141.948
92,Oregon St.,WCC,13.363,12.810,26.172,124.634,99.170,121.797
93,UNI,Missouri Valley,20.860,5.150,26.010,149.809,149.178,94.509
94,Idaho St.,Big Sky,14.405,11.598,26.004,128.692,121.425,118.920
95,BYU,Big 12,14.357,11.366,25.723,135.526,92.453,117.620
96,Sam Houston,Conference USA,11.969,13.680,25.649,119.361,96.473,124.749
97,New Mexico,Mountain West,12.137,13.082,25.218,121.880,95.245,125.419
98,New Mexico St.,Conference USA,16.434,8.784,25.218,142.397,122.029,110.424
99,Georgia St.,Sun Belt,9.907,15.242,25.149,109.927,87.639,131.534
100,UNLV,Mountain West,14.833,10.303,25.136,134.752,118.917,116.132
101,Southern Ill.,Missouri Valley,10.995,14.114,25.110,121.360,114.369,140.292
102,North Texas,American,13.551,11.555,25.106,124.544,99.861,117.097
103,Jacksonville,ASUN,11.502,13.494,24.995,119.278,102.714,127.947
104,Sacramento St.,Big Sky,9.270,15.607,24.877,113.172,98.380,139.991
105,UIW,Southland,15.000,9.421,24.421,132.213,128.633,113.912
106,Delaware,Conference USA,11.633,12.775,24.408,120.526,101.921,126.229
107,North Ala.,ASUN,12.311,12.008,24.319,125.151,115.097,127.847
108,UC Santa Barbara,Big West,13.034,11.098,24.132,125.202,113.015,119.357
109,Minnesota,Big Ten,7.018,16.896,23.914,103.758,62.059,140.780
110,Tulsa,American,11.756,11.927,23.683,118.479,86.132,118.133
111,Fresno St.,Mountain West,8.939,14.514,23.453,113.324,84.419,136.583
112,Ga. Southern,Sun Belt,9.579,13.825,23.404,112.150,79.989,128.982
113,UAB,American,9.898,13.460,23.358,112.598,73.810,125.661
114,California,ACC,14.206,9.086,23.291,131.404,92.467,108.162
115,Creighton,Big East,13.375,9.817,23.192,121.053,112.005,107.641
116,Nicholls,Southland,8.871,14.235,23.106,108.037,95.408,131.112
117,Samford,SoCon,11.515,11.470,22.985,117.786,94.714,118.125
118,Akron,MAC,12.319,10.458,22.777,117.734,104.938,111.689
119,Colorado St.,Mountain West,10.595,11.882,22.478,116.295,93.877,121.273
120,Austin Peay,Uac ,10.681,11.350,22.031,115.781,108.206,120.964
121,Princeton,Ivy League,11.688,10.082,21.770,121.783,123.910,118.912
122,Maryland,Big Ten,9.425,12.081,21.506,116.037,81.511,125.120
123,Michigan St.,Big Ten,9.510,11.602,21.112,113.484,75.231,119.442
124,South Dakota St.,Summit League,14.396,6.640,21.036,127.072,114.599,98.760
125,UTSA,American,10.771,10.265,21.036,115.128,90.057,110.026
126,FGCU,ASUN,8.589,12.301,20.890,108.265,77.325,120.922
127,Long Beach St.,Big West,9.065,11.718,20.783,111.429,94.628,125.015
128,Tarleton St.,WAC,12.362,8.375,20.737,117.268,112.574,104.425
129,Western Mich.,MAC,10.497,10.239,20.736,115.404,105.856,114.653
130,Western Caro.,SoCon,11.840,8.854,20.693,115.760,112.966,106.033
131,Hawaii,Big West,7.787,12.703,20.491,107.639,93.333,131.738
132,Seattle U,WCC,11.820,8.609,20.429,119.603,101.349,107.492
133,Utah Valley,WAC,13.687,6.551,20.238,125.886,123.781,99.967
134,UNCW,CAA,6.216,13.987,20.202,99.668,89.893,135.299
135,Boston College,ACC,11.198,8.986,20.184,120.282,78.911,107.912
136,SFA,Southland,8.599,11.192,19.791,105.613,97.878,116.539
137,Providence,Big East,12.086,7.686,19.772,124.559,121.112,107.183
138,Lamar University,Southland,10.608,9.028,19.636,112.493,100.724,107.037
139,Radford,Big South,3.532,16.061,19.593,89.462,69.404,145.395
140,Memphis,American,12.265,7.326,19.590,120.137,98.478,98.758
141,USC Upstate,Big South,11.710,7.824,19.535,114.441,109.885,101.297
142,Middle Tenn.,Conference USA,10.277,9.048,19.325,116.529,96.215,110.007
143,Santa Clara,WCC,6.719,12.605,19.325,101.541,72.559,123.403
144,St. John's (NY),Big East,7.466,11.482,18.948,100.637,94.866,116.573
145,Army West Point,Patriot League,4.591,14.140,18.730,91.221,90.404,128.487
146,Pittsburgh,ACC,8.617,10.095,18.712,108.883,79.771,112.780
147,North Dakota St.,Summit League,11.475,7.075,18.550,118.307,103.952,102.574
148,Wofford,SoCon,10.616,7.236,17.851,114.467,114.820,103.631
149,Central Mich.,MAC,10.967,6.871,17.837,119.241,110.099,103.356
150,Northwestern St.,Southland,8.116,9.650,17.765,105.434,94.969,112.898
151,Syracuse,ACC,6.707,10.917,17.624,105.630,78.360,123.092
152,Missouri St.,Conference USA,7.136,10.412,17.548,105.658,78.368,117.868
153,Illinois St.,Missouri Valley,10.132,7.050,17.182,116.640,104.112,103.671
